,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
30,62019,24514,27230,27424,28608,29514,30953,31946,32148,32880,33694,34662,36130,37178,38267,38750,39699,40606,42037,42553,43451,44503,44979,45226,45362,47115,47827,48719,49608,50150,50728,52348,53992,54403,54982,56163,56757,57779,59179,61678,62145,63341,64569,65295,65831,66785,67254,67884,68369,69097,70317,71663,72527,73062,74715,76213,76981,77369
31,70309,24567,27315,27518,28683,29616,31064,32056,32255,32979,33786,34757,36228,37280,38360,38837,39788,40704,42130,42681,43571,44619,45099,45365,45460,47210,47928,48820,49704,50248,50821,52465,54084,54506,55080,56255,56846,57876,59304,61772,62235,63439,64660,65378,65918,66869,67338,67968,68463,69197,70427,71769,72609,73159,74827,76313,77083,77467
32,70299,24606,27374,27596,28742,29700,31149,32133,32343,33056,33861,34836,36305,37360,38429,38909,39859,40786,42197,42778,43664,44705,45194,45477,45542,47283,48007,48898,49778,50325,50901,52565,54150,54589,55160,56325,56919,57955,59414,61841,62310,63519,64730,65444,65990,66935,67407,68036,68537,69277,70515,71854,72675,73242,74924,76389,77164,77550
33,70289,24665,27466,27687,28818,29803,31258,32238,32449,33154,33953,34929,36405,37461,38522,38997,39946,40886,42290,42904,43783,44820,45313,45614,45670,47380,48107,48999,49875,50422,50995,52682,54245,54691,55258,56416,57008,58052,59544,61936,62400,63616,64821,65528,66076,67018,67490,68122,68629,69379,70626,71957,72755,73339,75038,76490,77267,77648
34,70279,24754,27597,27810,28928,29942,31419,32395,32592,33295,34083,35054,36546,37606,38660,39117,40068,41019,42436,43089,43960,44995,45481,45805,45860,47527,48252,49144,50015,50558,51119,52835,54392,54833,55394,56550,57129,58184,59707,62091,62522,63749,64952,65647,66194,67138,67604,68241,68757,69520,70780,72100,72870,73467,75184,76641,77415,77776
35,70269,24810,27686,27901,29009,30048,31535,32501,32697,33393,34177,35147,36651,37708,38753,39205,40158,41118,42531,43214,44080,45111,45600,45941,45956,47625,48354,49246,50113,50655,51213,52954,54488,54935,55492,56641,57219,58283,59840,62193,62613,63850,65042,65731,66280,67222,67688,68325,68850,69620,70893,72203,72954,73565,75297,76743,77518,77874
36,70259,24902,27839,28024,29122,30190,31698,32661,32840,33534,34308,35273,36800,37856,38893,39326,40285,41253,42682,43398,44257,45287,45768,46131,46185,47773,48500,49392,50255,50791,51338,53106,54636,55078,55627,56774,57341,58418,60006,62360,62736,63984,65172,65851,66398,67343,67803,68444,68978,69761,71050,72346,73072,73694,75444,76894,77667,78003
37,81101,24976,27948,28131,29220,30316,31836,32794,32964,33655,34422,35384,36928,37982,39009,39431,40396,41370,42805,43552,44406,45433,45911,46293,46346,47897,48625,49517,50375,50907,51448,53241,54764,55202,55745,56886,57449,58536,60156,62491,62845,64101,65284,65953,66501,67445,67902,68546,69089,69883,71187,72468,73174,73810,75574,77021,77794,78118
38,81111,25029,28048,28222,29304,30425,31947,32899,33071,33755,34517,35480,37034,38084,39103,39521,40489,41472,42904,43676,44528,45549,46030,46427,46480,47997,48727,49619,50473,51005,51543,53359,54859,55307,55844,56977,57540,58640,60290,62584,62938,64202,65376,66040,66588,67530,67987,68631,69181,69986,71302,72567,73260,73911,75690,77126,77898,78218
39,82119,25119,28166,28330,29404,30554,32085,33033,33195,33875,34632,35593,37164,38211,39227,39626,40601,41594,43035,43829,44677,45703,46173,46588,46642,48150,48851,49742,50594,51122,51654,53497,55010,55432,55962,57096,57646,58763,60441,62748,63047,64327,65489,66142,66692,67636,68087,68732,69291,70110,71438,72688,73362,74027,75822,77257,78023,78333
